inx,value,variable,name
2013-11-01,0.432065367698669,LE,asd
2013-11-01,0.0518267601728439,Rainf,asd
2014-11-01,0.604460895061493,ET,asd
2014-11-01,2.0027186870575,GPP,asd
2014-11-01,0.604460895061493,LE,asd
2014-11-01,0.225039154291153,Rainf,asd
2015-11-01,1.33241963386536,ET,asd
2015-11-01,1.72243916988373,GPP,asd
2015-11-01,1.33241963386536,LE,asd
2015-11-01,1.79795336723328,Rainf,asd
2016-11-01,0.26149582862854,ET,asd
2016-11-01,1.96912753582001,GPP,asd
2016-11-01,0.26149582862854,LE,asd
2016-11-01,0,Rainf,asd
2017-11-01,0.441903382539749,ET,asd
2017-11-01,2.22529673576355,GPP,asd
2017-11-01,0.441903382539749,LE,asd
2017-11-01,0,Rainf,asd
2018-11-01,0.499068945646286,ET,asd
2018-11-01,2.5162627696991,GPP,asd
2018-11-01,0.499068945646286,LE,asd
2018-11-01,0,Rainf,asd
2019-11-01,0.532397210597992,ET,asd
2019-11-01,2.12710881233215,GPP,asd
2019-11-01,0.532397210597992,LE,asd
2019-11-01,0,Rainf,asd
2013-11-15,0.369492262601852,ET,asd
2013-11-15,1.86890745162964,GPP,asd
2013-11-15,0.369492262601852,LE,asd
2013-11-15,0.123973846435547,Rainf,asd
2014-11-15,0.339815467596054,ET,asd
2014-11-15,1.84283685684204,GPP,asd
2014-11-15,0.339815467596054,LE,asd
2014-11-15,0.048532098531723,Rainf,asd
2015-11-15,0.310098171234131,ET,asd
2015-11-15,1.47772717475891,GPP,asd
2015-11-15,0.310098171234131,LE,asd
2015-11-15,0.312253832817078,Rainf,asd
2016-11-15,0.569677829742432,ET,asd
2016-11-15,1.69910526275635,GPP,asd
2016-11-15,0.569677829742432,LE,asd
2016-11-15,0.472488611936569,Rainf,asd
2017-11-15,0.278568863868713,ET,asd
2017-11-15,1.88944804668427,GPP,asd
2017-11-15,0.278568863868713,LE,asd
2017-11-15,0,Rainf,asd
2018-11-15,0.433463096618652,ET,asd
2018-11-15,2.44864964485168,GPP,asd
2018-11-15,0.433463096618652,LE,asd
2018-11-15,0,Rainf,asd
2019-11-15,0.707323670387268,ET,asd
2019-11-15,1.77933323383331,GPP,asd
2019-11-15,0.707323670387268,LE,asd
2019-11-15,0.459285616874695,Rainf,asd
2013-12-01,0.207444906234741,ET,asd
2013-12-01,1.81377530097961,GPP,asd
2013-12-01,0.207444906234741,LE,asd
2013-12-01,0,Rainf,asd
2014-12-01,0.299447417259216,ET,asd
2014-12-01,1.7455849647522,GPP,asd
2014-12-01,0.299447417259216,LE,asd
2014-12-01,0.127297639846802,Rainf,asd
2015-12-01,0.326308250427246,ET,asd
2015-12-01,1.72005105018616,GPP,asd
2015-12-01,0.326308250427246,LE,asd
2015-12-01,0.204355344176292,Rainf,asd
2016-12-01,0.189533367753029,ET,asd
2016-12-01,1.76256382465363,GPP,asd
2016-12-01,0.189533367753029,LE,asd
2016-12-01,0.00207463093101978,Rainf,asd
2017-12-01,0.261254101991653,ET,asd
2017-12-01,1.84832549095154,GPP,asd
2017-12-01,0.261254101991653,LE,asd
2017-12-01,0.000434037938248366,Rainf,asd
2018-12-01,0.689469993114471,ET,asd
2018-12-01,2.27682185173035,GPP,asd
2018-12-01,0.689469993114471,LE,asd
2018-12-01,0.469193369150162,Rainf,asd
2019-12-01,0.598919987678528,ET,asd
2019-12-01,1.92686092853546,GPP,asd
2019-12-01,0.598919987678528,LE,asd
2019-12-01,0.386235296726227,Rainf,asd
2013-12-15,0.156934961676598,ET,asd
2013-12-15,1.70467209815979,GPP,asd
2013-12-15,0.156934961676598,LE,asd
2013-12-15,0.00762210320681334,Rainf,asd
